school,minority,sex,ses,mathach,meanses,size,sector
1224,No,Female,0.012,14.053,-0.428,842,Public
1224,No,Female,-0.418,2.183,-0.428,842,Public
1288,No,Female,-0.788,7.857,0.128,1855,Public
1288,Yes,Male,-0.328,10.171,0.128,1855,Public
1288,No,Male,0.472,15.699,0.128,1855,Public
1288,No,Female,0.352,22.919,0.128,1855,Public
1288,Yes,Female,-1.468,10.664,0.128,1855,Public
1288,No,Female,0.202,13.543,0.128,1855,Public
1288,No,Male,-0.518,18.207,0.128,1855,Public
1288,Yes,Male,-0.158,5.552,0.128,1855,Public
1288,No,Male,0.042,7.416,0.128,1855,Public
1288,No,Male,0.682,18.792,0.128,1855,Public
1288,No,Male,1.262,1.575,0.128,1855,Public
1288,No,Female,0.152,3.534,0.128,1855,Public
1288,No,Female,-0.678,20.173,0.128,1855,Public
1288,No,Female,0.332,10.772,0.128,1855,Public
1288,No,Female,-0.728,2.619,0.128,1855,Public
1288,No,Female,1.262,21.3,0.128,1855,Public
1288,No,Male,0.612,19.527,0.128,1855,Public
1288,No,Female,0.692,18.402,0.128,1855,Public
1288,No,Female,1.082,20.69,0.128,1855,Public
1288,No,Male,0.222,21.437,0.128,1855,Public
1288,No,Male,0.032,7.519,0.128,1855,Public
1288,No,Male,-0.118,18.397,0.128,1855,Public
1288,No,Male,-0.488,4.617,0.128,1855,Public
1288,No,Male,0.322,23.578,0.128,1855,Public
1288,No,Male,0.592,12.81,0.128,1855,Public
1296,Yes,Female,-0.148,12.668,-0.42,1719,Public
1296,Yes,Male,-0.858,0.781,-0.42,1719,Public
1296,Yes,Female,-1.568,4.968,-0.42,1719,Public
1296,Yes,Male,-0.898,23.172,-0.42,1719,Public
1296,Yes,Female,-0.288,8.278,-0.42,1719,Public
1296,Yes,Female,-1.088,6.244,-0.42,1719,Public
1296,Yes,Female,-1.388,1.326,-0.42,1719,Public
1296,Yes,Male,-1.148,2.359,-0.42,1719,Public
1296,Yes,Female,-0.558,6.757,-0.42,1719,Public
1296,Yes,Female,-0.698,6.251,-0.42,1719,Public
1296,Yes,Female,0.142,3.404,-0.42,1719,Public
1296,Yes,Male,0.522,22.201,-0.42,1719,Public
1296,Yes,Male,0.732,-1.353,-0.42,1719,Public
1296,Yes,Female,-0.248,-0.014,-0.42,1719,Public
1296,Yes,Female,0.322,5.216,-0.42,1719,Public
1296,Yes,Female,0.052,3.587,-0.42,1719,Public
1296,Yes,Female,-0.028,11.162,-0.42,1719,Public
1296,Yes,Female,-0.898,5.982,-0.42,1719,Public
1296,Yes,Male,-0.818,2.814,-0.42,1719,Public
1296,Yes,Female,-1.408,7.272,-0.42,1719,Public
1296,Yes,Male,-1.258,8.895,-0.42,1719,Public
1296,Yes,Male,-0.608,8.773,-0.42,1719,Public
1296,Yes,Female,1.242,12.176,-0.42,1719,Public
1296,No,Male,-0.688,3.052,-0.42,1719,Public
1296,Yes,Female,-0.828,6.834,-0.42,1719,Public
1296,Yes,Female,-0.698,3.255,-0.42,1719,Public
1296,Yes,Female,-0.498,6.355,-0.42,1719,Public
1296,Yes,Male,-0.658,11.589,-0.42,1719,Public
1296,Yes,Female,-0.778,8.08,-0.42,1719,Public
1296,Yes,Female,-0.098,19.822,-0.42,1719,Public
1296,Yes,Female,-1.028,14.239,-0.42,1719,Public
1296,Yes,Female,-0.418,1.17,-0.42,1719,Public
1296,Yes,Female,-0.408,-1.127,-0.42,1719,Public
1296,Yes,Male,0.352,10.84,-0.42,1719,Public
1296,Yes,Female,-1.628,6.778,-0.42,1719,Public
1296,Yes,Female,-0.698,9.449,-0.42,1719,Public
1296,Yes,Male,-0.168,5.995,-0.42,1719,Public
1296,Yes,Female,-0.718,4.765,-0.42,1719,Public
1296,Yes,Female,-1.008,14.399,-0.42,1719,Public
1296,Yes,Male,-0.178,6.588,-0.42,1719,Public
1296,Yes,Male,0.392,11.026,-0.42,1719,Public
1296,Yes,Female,-0.358,7.095,-0.42,1719,Public
1296,Yes,Male,-0.628,12.721,-0.42,1719,Public
1296,Yes,Male,-0.038,5.52,-0.42,1719,Public
1296,Yes,Female,0.972,7.353,-0.42,1719,Public
1296,Yes,Female,0.252,7.095,-0.42,1719,Public
1296,Yes,Female,0.332,9.999,-0.42,1719,Public
1296,Yes,Male,-0.308,10.715,-0.42,1719,Public
1308,No,Male,0.422,13.233,0.534,716,Catholic
1308,No,Male,0.562,13.952,0.534,716,Catholic
1308,Yes,Male,-0.058,13.757,0.534,716,Catholic
1308,No,Male,0.952,13.97,0.534,716,Catholic
1308,No,Male,0.622,23.434,0.534,716,Catholic
1308,No,Male,0.832,9.162,0.534,716,Catholic
1308,No,Male,1.512,23.818,0.534,716,Catholic
1308,No,Male,0.622,15.998,0.534,716,Catholic
1308,Yes,Male,0.332,16.039,0.534,716,Catholic
1308,No,Male,0.442,24.993,0.534,716,Catholic
1308,Yes,Male,0.582,15.657,0.534,716,Catholic
1308,No,Male,1.102,16.258,0.534,716,Catholic
1308,No,Male,0.892,10.546,0.534,716,Catholic
1308,Yes,Male,0.802,17.615,0.534,716,Catholic
1308,Yes,Male,-0.568,21.116,0.534,716,Catholic
1308,Yes,Male,0.522,6.493,0.534,716,Catholic
1308,Yes,Male,0.102,2.512,0.534,716,Catholic
1308,Yes,Male,-0.348,22.393,0.534,716,Catholic
1308,No,Male,0.552,21.488,0.534,716,Catholic
1308,No,Male,0.682,22.676,0.534,716,Catholic
1317,No,Female,0.882,12.862,0.351,455,Catholic
1317,Yes,Female,0.932,8.961,0.351,455,Catholic
1317,Yes,Female,-0.158,4.756,0.351,455,Catholic
1317,Yes,Female,0.362,21.405,0.351,455,Catholic
1317,No,Female,1.372,20.748,0.351,455,Catholic
1317,Yes,Female,0.132,18.362,0.351,455,Catholic
1317,No,Female,0.132,14.752,0.351,455,Catholic
1317,Yes,Female,-0.008,11.29,0.351,455,Catholic
1317,Yes,Female,-0.108,10.493,0.351,455,Catholic
1317,Yes,Female,0.612,10.956,0.351,455,Catholic
1317,Yes,Female,0.482,21.405,0.351,455,Catholic
1317,No,Female,0.502,23.355,0.351,455,Catholic
1317,Yes,Female,0.482,12.283,0.351,455,Catholic
1317,Yes,Female,0.472,9.257,0.351,455,Catholic
1317,No,Female,-0.578,11.502,0.351,455,Catholic
1317,Yes,Female,1.152,20.039,0.351,455,Catholic
1317,Yes,Female,-0.288,21.405,0.351,455,Catholic
1317,Yes,Female,0.942,23.736,0.351,455,Catholic
1317,Yes,Female,0.722,11.027,0.351,455,Catholic
1317,Yes,Female,-0.108,17.203,0.351,455,Catholic
1317,Yes,Female,1.462,10.661,0.351,455,Catholic
1317,Yes,Female,-0.028,7.031,0.351,455,Catholic
1317,No,Female,0.702,13.677,0.351,455,Catholic
1317,Yes,Female,0.082,13.373,0.351,455,Catholic
1317,Yes,Female,-0.108,10.121,0.351,455,Catholic
1317,Yes,Female,0.322,10.394,0.351,455,Catholic
1317,Yes,Female,0.302,6.973,0.351,455,Catholic
1317,No,Female,-0.098,11.064,0.351,455,Catholic
1317,Yes,Female,-0.848,11.531,0.351,455,Catholic
1317,Yes,Female,-1.248,8.253,0.351,455,Catholic
1317,Yes,Female,0.122,7.142,0.351,455,Catholic
1317,Yes,Female,0.272,3.22,0.351,455,Catholic
1317,No,Female,0.582,15.784,0.351,455,Catholic
1317,Yes,Female,0.642,17.246,0.351,455,Catholic
1317,Yes,Female,0.952,9.337,0.351,455,Catholic
1317,Yes,Female,-0.258,15.555,0.351,455,Catholic
1317,Yes,Female,0.492,8.382,0.351,455,Catholic
1317,No,Female,0.992,11.621,0.351,455,Catholic
1317,Yes,Female,0.832,4.81,0.351,455,Catholic
1317,Yes,Female,-0.068,17.869,0.351,455,Catholic
1317,Yes,Female,-0.088,8.057,0.351,455,Catholic
1317,Yes,Female,0.972,11.794,0.351,455,Catholic
1317,No,Female,0.542,18.939,0.351,455,Catholic
1317,Yes,Female,0.132,20.261,0.351,455,Catholic
1317,Yes,Female,-0.008,10.066,0.351,455,Catholic
1317,No,Female,0.812,20.236,0.351,455,Catholic
1317,No,Female,1.122,4.508,0.351,455,Catholic
1317,No,Female,0.062,18.827,0.351,455,Catholic
1358,Yes,Male,0.032,-1.347,-0.014,1430,Public
1358,No,Female,-1.088,8.054,-0.014,1430,Public
1358,No,Male,0.372,15.655,-0.014,1430,Public
1358,No,Male,-0.568,11.648,-0.014,1430,Public
1358,No,Male,-0.328,11.629,-0.014,1430,Public
1358,No,Female,-0.018,18.687,-0.014,1430,Public
1358,Yes,Male,-1.208,-0.827,-0.014,1430,Public
1358,No,Male,-0.098,7.87,-0.014,1430,Public
1358,No,Male,0.942,18.115,-0.014,1430,Public
1358,No,Female,-1.408,3.792,-0.014,1430,Public
1358,No,Male,0.122,11.03,-0.014,1430,Public
1358,No,Female,0.362,7.564,-0.014,1430,Public
1358,Yes,Female,-0.708,3.465,-0.014,1430,Public
1358,No,Male,0.252,15.038,-0.014,1430,Public
1358,No,Female,0.312,10.184,-0.014,1430,Public
1358,No,Female,-0.678,2.933,-0.014,1430,Public
1358,No,Male,-0.148,8.438,-0.014,1430,Public
1358,No,Female,-0.168,7.519,-0.014,1430,Public
1358,No,Male,1.092,18.735,-0.014,1430,Public
1358,No,Female,0.232,10.19,-0.014,1430,Public
1358,No,Male,0.422,16.294,-0.014,1430,Public
1358,No,Male,1.282,10.65,-0.014,1430,Public
1358,No,Male,-0.248,10.301,-0.014,1430,Public
1358,No,Male,0.952,17.811,-0.014,1430,Public
1358,No,Female,-0.038,14.646,-0.014,1430,Public
1358,No,Female,-0.398,17.191,-0.014,1430,Public
1358,No,Male,0.162,8.69,-0.014,1430,Public
1358,No,Male,0.682,21.142,-0.014,1430,Public
1358,No,Male,-0.668,16.499,-0.014,1430,Public
1358,No,Male,-0.038,14.591,-0.014,1430,Public
1374,No,Male,0.322,16.663,-0.007,2400,Public
1374,Yes,Female,0.212,-2.155,-0.007,2400,Public
1374,Yes,Female,0.682,0.085,-0.007,2400,Public
1374,No,Female,-0.148,18.804,-0.007,2400,Public
1374,Yes,Female,-0.468,2.409,-0.007,2400,Public
1374,No,Female,0.842,16.759,-0.007,2400,Public
1374,Yes,Male,0.072,18.948,-0.007,2400,Public
1374,No,Female,0.332,10.593,-0.007,2400,Public
1374,No,Male,-0.858,15.557,-0.007,2400,Public
1374,No,Male,0.902,23.419,-0.007,2400,Public
1374,Yes,Male,1.242,0.333,-0.007,2400,Public
1374,No,Male,-0.738,-2.002,-0.007,2400,Public
1374,No,Male,0.362,24.041,-0.007,2400,Public
1374,Yes,Male,0.712,-2.657,-0.007,2400,Public
1374,No,Female,0.452,7.603,-0.007,2400,Public
1374,Yes,Male,-0.598,5.803,-0.007,2400,Public
1374,Yes,Male,-1.028,3.931,-0.007,2400,Public
1374,No,Male,-0.338,8.268,-0.007,2400,Public
1374,No,Male,-0.948,1.344,-0.007,2400,Public
1374,Yes,Male,0.292,16.449,-0.007,2400,Public
1374,No,Female,-1.218,2.881,-0.007,2400,Public
1374,No,Female,0.492,20.93,-0.007,2400,Public
1374,No,Male,1.152,22.086,-0.007,2400,Public
1374,No,Female,-0.758,7.653,-0.007,2400,Public
1374,No,Female,-0.298,8.082,-0.007,2400,Public
1374,No,Female,-0.478,5.503,-0.007,2400,Public
1374,No,Female,0.192,9.004,-0.007,2400,Public
1374,No,Male,-0.738,12.063,-0.007,2400,Public
1433,No,Male,0.812,12.907,0.718,899,Catholic
1433,No,Male,1.332,18.496,0.718,899,Catholic
1433,No,Male,-0.338,20.323,0.718,899,Catholic
1433,No,Male,1.082,22.682,0.718,899,Catholic
1433,No,Male,0.542,14.198,0.718,899,Catholic
1433,No,Male,0.382,24.044,0.718,899,Catholic
1433,No,Male,0.592,19.571,0.718,899,Catholic
1433,No,Male,0.852,22.183,0.718,899,Catholic
1433,No,Male,-0.368,16.676,0.718,899,Catholic
1433,No,Male,1.022,23.327,0.718,899,Catholic
1433,No,Male,0.712,16.394,0.718,899,Catholic
1433,No,Male,0.272,23.032,0.718,899,Catholic
1433,No,Male,1.182,18.586,0.718,899,Catholic
1433,No,Male,-0.588,15.246,0.718,899,Catholic
1433,No,Male,1.282,20.731,0.718,899,Catholic
1433,No,Male,0.942,20.447,0.718,899,Catholic
1433,No,Male,1.512,23.572,0.718,899,Catholic
1433,No,Male,0.222,17.571,0.718,899,Catholic
1433,No,Male,0.992,24.993,0.718,899,Catholic
1433,No,Male,1.362,24.421,0.718,899,Catholic
1433,No,Male,0.482,11.478,0.718,899,Catholic
1433,No,Male,1.292,24.812,0.718,899,Catholic
1433,No,Male,1.072,22.093,0.718,899,Catholic
1433,No,Male,0.562,18.716,0.718,899,Catholic
1433,No,Male,-0.218,23.392,0.718,899,Catholic
1433,No,Male,1.512,15.992,0.718,899,Catholic
1433,No,Male,0.772,13.254,0.718,899,Catholic
1433,No,Male,0.952,24.812,0.718,899,Catholic
1433,No,Male,1.392,22.086,0.718,899,Catholic
1433,Yes,Male,1.002,24.479,0.718,899,Catholic
1433,No,Male,0.932,16.724,0.718,899,Catholic
1433,No,Male,-0.458,20.628,0.718,899,Catholic
1433,No,Male,-0.198,14.544,0.718,899,Catholic
1433,No,Male,0.952,19.033,0.718,899,Catholic
1433,No,Male,1.072,18.727,0.718,899,Catholic
1436,No,Male,0.222,24.133,0.569,185,Catholic
1436,No,Male,-0.078,18.77,0.569,185,Catholic
1436,No,Male,1.512,21.803,0.569,185,Catholic
1436,No,Male,0.212,9.561,0.569,185,Catholic
1436,No,Female,0.792,15.132,0.569,185,Catholic
1436,No,Female,1.342,22.387,0.569,185,Catholic
1436,No,Male,0.242,22.578,0.569,185,Catholic
1436,No,Male,-0.298,18.763,0.569,185,Catholic
1436,No,Male,-1.038,18.301,0.569,185,Catholic
1436,No,Male,0.682,15.879,0.569,185,Catholic
1436,No,Male,0.802,20.424,0.569,185,Catholic
1436,No,Male,0.952,23.072,0.569,185,Catholic
1436,No,Female,1.002,13.12,0.569,185,Catholic
1436,No,Male,1.142,18.844,0.569,185,Catholic
1436,No,Female,0.482,17.495,0.569,185,Catholic
1436,No,Female,1.512,15.615,0.569,185,Catholic
1436,No,Female,0.242,11.001,0.569,185,Catholic
1436,No,Female,1.222,17.103,0.569,185,Catholic
1436,No,Female,-0.298,21.56,0.569,185,Catholic
1436,No,Male,-0.338,19.419,0.569,185,Catholic
1436,No,Female,1.042,18.471,0.569,185,Catholic
1436,No,Male,0.672,22.868,0.569,185,Catholic
1436,No,Male,0.732,14.138,0.569,185,Catholic
1436,No,Male,0.822,23.271,0.569,185,Catholic
1436,No,Male,0.362,13.472,0.569,185,Catholic
1436,No,Male,-0.318,17.465,0.569,185,Catholic
1436,No,Male,0.682,16.038,0.569,185,Catholic
1436,No,Male,0.712,22.455,0.569,185,Catholic
1436,No,Male,0.542,18.984,0.569,185,Catholic
1436,No,Male,0.252,12.535,0.569,185,Catholic
1436,No,Female,0.482,16.568,0.569,185,Catholic
1436,No,Male,-0.028,22.592,0.569,185,Catholic
1436,No,Male,0.252,16.886,0.569,185,Catholic
1436,No,Male,0.702,22.985,0.569,185,Catholic
1436,No,Female,0.212,6.798,0.569,185,Catholic
1436,No,Female,0.342,5.51,0.569,185,Catholic
1436,No,Male,1.342,24.479,0.569,185,Catholic
1436,No,Female,1.512,18.827,0.569,185,Catholic
1436,No,Female,1.212,20.268,0.569,185,Catholic
1436,No,Male,1.122,24.993,0.569,185,Catholic
1436,No,Male,0.272,15.06,0.569,185,Catholic
1436,No,Female,0.782,20.818,0.569,185,Catholic
1436,No,Male,-0.018,18.33,0.569,185,Catholic
1436,No,Male,0.772,18.14,0.569,185,Catholic
1461,No,Female,0.042,12.962,0.683,1672,Public
1461,No,Female,1.282,24.545,0.683,1672,Public
1461,No,Female,1.122,13.314,0.683,1672,Public
1461,No,Female,1.172,16.929,0.683,1672,Public
1461,No,Female,-1.108,3.796,0.683,1672,Public
1461,No,Female,0.822,14.581,0.683,1672,Public
1461,No,Female,0.482,18.719,0.683,1672,Public
1461,No,Female,0.902,12.595,0.683,1672,Public
1461,No,Female,1.022,17.326,0.683,1672,Public
1461,No,Female,0.602,15.918,0.683,1672,Public
1461,No,Male,1.272,23.088,0.683,1672,Public
1461,No,Male,1.352,18.259,0.683,1672,Public
1461,No,Male,1.422,23.517,0.683,1672,Public
1461,No,Male,-0.108,14.157,0.683,1672,Public
1461,No,Male,-0.358,17.999,0.683,1672,Public
1461,No,Female,1.202,18.858,0.683,1672,Public
1461,No,Male,-0.778,22.183,0.683,1672,Public
1461,No,Female,1.102,24.993,0.683,1672,Public
1461,No,Female,1.012,20.928,0.683,1672,Public
1461,No,Male,1.262,22.461,0.683,1672,Public
1461,No,Male,1.392,18.322,0.683,1672,Public
1461,No,Female,-0.258,2.895,0.683,1672,Public
1461,No,Male,0.932,21.007,0.683,1672,Public
1461,No,Male,1.062,18.471,0.683,1672,Public
1461,No,Male,1.212,24.48,0.683,1672,Public
1461,No,Female,0.982,18.471,0.683,1672,Public
1461,No,Female,0.462,18.831,0.683,1672,Public
1461,No,Female,0.532,18.114,0.683,1672,Public
1461,No,Male,1.062,22.685,0.683,1672,Public
1461,No,Male,0.172,-0.338,0.683,1672,Public
1461,No,Female,0.492,21.09,0.683,1672,Public
1461,Yes,Male,-0.668,-2.832,0.683,1672,Public
1461,No,Female,1.262,17.483,0.683,1672,Public
1462,Yes,Male,0.162,1.967,-0.663,530,Catholic
1462,Yes,Male,-0.758,7.718,-0.663,530,Catholic
1462,Yes,Male,-0.708,19.043,-0.663,530,Catholic
1462,Yes,Male,-0.818,20.133,-0.663,530,Catholic
1462,Yes,Male,-1.918,22.289,-0.663,530,Catholic
1462,Yes,Male,-0.948,14.277,-0.663,530,Catholic
1462,Yes,Male,-0.798,10.189,-0.663,530,Catholic
1462,Yes,Male,-1.458,9.607,-0.663,530,Catholic
1462,Yes,Male,-0.158,6.125,-0.663,530,Catholic
1462,Yes,Male,-0.378,23.818,-0.663,530,Catholic
1462,Yes,Male,-1.068,6.34,-0.663,530,Catholic
1462,Yes,Male,-0.808,9.437,-0.663,530,Catholic
1462,Yes,Male,-1.648,8.168,-0.663,530,Catholic
1462,Yes,Male,-0.288,4.31,-0.663,530,Catholic
1462,Yes,Male,-0.328,6.986,-0.663,530,Catholic
1462,Yes,Male,-0.498,21.452,-0.663,530,Catholic
1462,Yes,Male,-0.158,9.167,-0.663,530,Catholic
1462,Yes,Male,-0.728,9.625,-0.663,530,Catholic
1462,Yes,Male,-0.948,0.722,-0.663,530,Catholic
1462,Yes,Male,-0.728,3.115,-0.663,530,Catholic
1462,Yes,Male,-1.508,23.066,-0.663,530,Catholic
1462,Yes,Male,-0.088,4.518,-0.663,530,Catholic
1462,Yes,Male,-0.638,5.337,-0.663,530,Catholic
1462,Yes,Male,-0.358,4.103,-0.663,530,Catholic
1462,Yes,Male,-0.658,15.794,-0.663,530,Catholic
1462,Yes,Male,-0.958,1.975,-0.663,530,Catholic
1462,Yes,Male,-1.208,2.693,-0.663,530,Catholic
1462,Yes,Male,-0.378,13.809,-0.663,530,Catholic
1462,Yes,Male,-0.918,7.964,-0.663,530,Catholic
1462,Yes,Male,0.222,2.142,-0.663,530,Catholic
1462,Yes,Male,0.312,6.035,-0.663,530,Catholic
1462,Yes,Male,-0.488,17.996,-0.663,530,Catholic
1462,No,Male,0.302,20.792,-0.663,530,Catholic
1462,Yes,Male,-0.868,9.909,-0.663,530,Catholic
1462,Yes,Male,-0.708,5.189,-0.663,530,Catholic
1462,Yes,Male,-1.178,7.772,-0.663,530,Catholic
1462,Yes,Male,-0.498,12.074,-0.663,530,Catholic
1462,Yes,Male,0.032,15.103,-0.663,530,Catholic
1462,Yes,Male,-1.318,11.252,-0.663,530,Catholic
1462,Yes,Male,-1.948,1.283,-0.663,530,Catholic
1462,Yes,Male,-0.738,16.975,-0.663,530,Catholic
1462,Yes,Male,-0.558,8.762,-0.663,530,Catholic
1462,Yes,Male,-0.518,6.789,-0.663,530,Catholic
1462,Yes,Male,-1.098,12.283,-0.663,530,Catholic
1462,Yes,Male,-0.778,11.479,-0.663,530,Catholic
1462,Yes,Male,-1.068,9.071,-0.663,530,Catholic
1462,Yes,Male,-0.388,9.474,-0.663,530,Catholic
1462,Yes,Male,0.222,12.089,-0.663,530,Catholic
1462,Yes,Male,0.112,16.534,-0.663,530,Catholic
1462,Yes,Male,-0.528,6.331,-0.663,530,Catholic
1462,Yes,Male,-0.398,10.386,-0.663,530,Catholic
1462,Yes,Male,-0.358,8.163,-0.663,530,Catholic
1462,Yes,Male,-0.598,18.801,-0.663,530,Catholic
1462,Yes,Male,-1.708,22.581,-0.663,530,Catholic
1462,Yes,Male,-0.268,16.095,-0.663,530,Catholic
1462,Yes,Male,-2.058,5.321,-0.663,530,Catholic
1462,Yes,Male,0.402,3.819,-0.663,530,Catholic
1477,No,Female,-0.178,14.15,0.166,531,Catholic
1477,No,Male,-0.108,3.976,0.166,531,Catholic
1477,No,Male,0.262,3.846,0.166,531,Catholic
1477,Yes,Male,-0.358,5.238,0.166,531,Catholic
1477,No,Female,0.982,9.349,0.166,531,Catholic
1477,No,Female,0.462,23.765,0.166,531,Catholic
1477,No,Male,-0.208,22.84,0.166,531,Catholic
1477,No,Male,0.812,1.606,0.166,531,Catholic
1477,No,Female,-0.388,19.269,0.166,531,Catholic
1477,No,Male,0.282,17.191,0.166,531,Catholic
1477,No,Male,0.012,16.288,0.166,531,Catholic
1477,No,Male,0.392,7.106,0.166,531,Catholic
1477,No,Male,-1.068,20.714,0.166,531,Catholic
1477,No,Male,0.662,18.171,0.166,531,Catholic
1477,No,Female,0.002,21.951,0.166,531,Catholic
1477,No,Male,-0.388,-2.832,0.166,531,Catholic
1477,No,Male,1.222,20.246,0.166,531,Catholic
1477,Yes,Female,-0.368,21.75,0.166,531,Catholic
1477,No,Female,-0.588,16.337,0.166,531,Catholic
1477,No,Female,0.642,16.061,0.166,531,Catholic
1477,No,Female,0.892,11.724,0.166,531,Catholic
1477,No,Female,1.152,19.401,0.166,531,Catholic
1477,No,Female,-0.518,2.186,0.166,531,Catholic
1477,No,Female,0.002,23.204,0.166,531,Catholic
1477,No,Male,0.202,12.755,0.166,531,Catholic
1477,No,Male,1.512,14.076,0.166,531,Catholic
1477,No,Male,-0.238,22.493,0.166,531,Catholic
1477,No,Male,0.022,22.714,0.166,531,Catholic
1477,No,Male,0.562,11.031,0.166,531,Catholic
1477,No,Female,-0.658,18.777,0.166,531,Catholic
1477,No,Male,0.352,24.107,0.166,531,Catholic
1477,No,Female,0.702,23.004,0.166,531,Catholic
1477,Yes,Male,-0.588,8.136,0.166,531,Catholic
1477,No,Female,0.152,10.714,0.166,531,Catholic
1477,No,Female,-0.218,12.59,0.166,531,Catholic
1477,No,Male,0.932,14.732,0.166,531,Catholic
1477,No,Female,1.312,22.396,0.166,531,Catholic
1477,No,Male,0.352,16.304,0.166,531,Catholic
1477,No,Male,-0.748,16.19,0.166,531,Catholic
1477,No,Female,0.652,7.275,0.166,531,Catholic
1477,No,Female,0.652,14.809,0.166,531,Catholic
1477,No,Male,0.042,-0.203,0.166,531,Catholic
1477,No,Male,-0.808,17.967,0.166,531,Catholic
1477,No,Male,1.342,24.247,0.166,531,Catholic
1477,No,Female,1.512,6.946,0.166,531,Catholic
1477,No,Male,0.492,17.791,0.166,531,Catholic
1477,No,Female,0.152,8.856,0.166,531,Catholic
1477,No,Male,-0.818,10.349,0.166,531,Catholic
1477,No,Female,-0.918,9.44,0.166,531,Catholic
1477,No,Female,1.072,4.999,0.166,531,Catholic
1477,No,Female,0.252,7.873,0.166,531,Catholic
1477,No,Male,-0.548,17.007,0.166,531,Catholic
1477,No,Male,0.072,16.262,0.166,531,Catholic
1477,No,Female,-1.408,0.466,0.166,531,Catholic
1477,No,Male,0.052,18.887,0.166,531,Catholic
1477,No,Male,-0.118,24.812,0.166,531,Catholic
1477,No,Male,1.212,15.245,0.166,531,Catholic
1477,No,Female,-0.268,14.958,0.166,531,Catholic
1477,No,Male,-0.248,12.508,0.166,531,Catholic
1477,No,Male,0.632,21.853,0.166,531,Catholic
1477,No,Female,-0.158,20.844,0.166,531,Catholic
1477,No,Female,-0.208,5.418,0.166,531,Catholic
1499,No,Female,-0.678,5.608,-0.46,1921,Public
1499,No,Female,-0.158,18.352,-0.46,1921,Public
1499,No,Female,-0.468,5.949,-0.46,1921,Public
1499,Yes,Female,-0.148,-1.462,-0.46,1921,Public
1499,Yes,Female,-0.928,4.087,-0.46,1921,Public
1499,No,Female,-0.218,10.258,-0.46,1921,Public
1499,No,Male,0.662,21.791,-0.46,1921,Public
1499,No,Male,-0.228,1.365,-0.46,1921,Public
1499,No,Female,-0.368,1.73,-0.46,1921,Public
1499,Yes,Female,0.342,5.093,-0.46,1921,Public
1499,No,Male,0.692,17.572,-0.46,1921,Public
1499,Yes,Male,-0.898,11.211,-0.46,1921,Public
1499,Yes,Female,-0.578,6.018,-0.46,1921,Public
1499,No,Female,-1.178,6.394,-0.46,1921,Public
1499,Yes,Male,-1.608,14.681,-0.46,1921,Public
1499,Yes,Male,-1.048,11.868,-0.46,1921,Public
1499,Yes,Female,0.382,2.404,-0.46,1921,Public
1499,No,Female,-0.958,2.042,-0.46,1921,Public
